date,ALV0_Spot(snt/kWh),ALV24*(siirto+marginaali)(snt/kWh),Kulutus(kWh),ALV0_Spot(snt),ALV24*(siirto+marginaali)(snt),LT(degC)
2017-06-01 00:00:00+00:00,2.064,5.684159999999999,2.247,4.637808,12.772307519999998,2.8
2017-06-01 01:00:00+00:00,2.069,5.69036,3.541,7.326328999999999,20.14956476,2.9
2017-06-01 02:00:00+00:00,2.184,5.832960000000001,0.413,0.901992,2.4090124800000003,3.4
2017-06-01 03:00:00+00:00,2.369,6.06236,0.667,1.5801230000000002,4.04359412,4
2017-06-01 04:00:00+00:00,2.683,6.451719999999999,1.051,2.819833,6.780757719999999,4.2
2017-06-01 05:00:00+00:00,3.739,7.76116,1.357,5.073823,10.53189412,4.6
2017-06-01 06:00:00+00:00,4.008,8.09472,4.269,17.110152,34.55635968000001,4.6
2017-06-01 07:00:00+00:00,3.803,7.840520000000001,0.43,1.63529,3.3714236000000004,3.8
2017-06-01 08:00:00+00:00,3.324,7.24656,0.549,1.824876,3.97836144,5.2
2017-06-01 09:00:00+00:00,3.3,7.2168,1.463,4.8279,10.5581784,4.8
2017-06-01 10:00:00+00:00,3.101,6.970040000000001,3.129,9.703029,21.809255160000003,1.3
2017-06-01 11:00:00+00:00,3.186,7.07544,1.037,3.303882,7.33723128,5.2
2017-06-01 12:00:00+00:00,3.134,7.01096,1.659,5.199306,11.63118264,5.1
2017-06-01 13:00:00+00:00,3.408,7.35072,1.491,5.081328,10.95992352,6.4
2017-06-01 14:00:00+00:00,3.411,7.35444,4.364,14.885604,32.09477616,3.9
2017-06-01 15:00:00+00:00,3.667,7.671879999999999,0.81,2.97027,6.2142228,6.9
2017-06-01 16:00:00+00:00,3.838000000000001,7.883920000000001,0.696,2.6712480000000003,5.48720832,6.6
2017-06-01 17:00:00+00:00,4.204,8.33776,3.821,16.063484,31.85858096,6.9
2017-06-01 18:00:00+00:00,3.3799999999999994,7.315999999999999,0.824,2.78512,6.028383999999999,6.8
2017-06-01 19:00:00+00:00,3.3119999999999994,7.231679999999999,1.289,4.269167999999999,9.321635519999996,6.5
2017-06-01 20:00:00+00:00,3.181,7.069240000000001,4.652,14.798012,32.88610448000001,5.9
2017-06-01 21:00:00+00:00,2.641,6.39964,0.546,1.4419860000000002,3.49420344,4
2017-06-01 22:00:00+00:00,2.638,6.395919999999999,3.27,8.62626,20.9146584,3
2017-06-01 23:00:00+00:00,2.583,6.327719999999999,2.891,7.467453000000001,18.29343852,2.5
2017-06-02 00:00:00+00:00,2.499,6.22356,2.317,5.790183000000001,14.41998852,3
2017-06-02 01:00:00+00:00,2.459,6.17396,2.582,6.349138,15.94116472,2.1
2017-06-02 02:00:00+00:00,2.434,6.14296,2.6,6.3284,15.971696,1.9
2017-06-02 03:00:00+00:00,2.614,6.366160000000001,2.877,7.520477999999999,18.31544232,1.8
2017-06-02 04:00:00+00:00,3.533,7.50572,4.046,14.294518,30.368143120000003,2
2017-06-02 05:00:00+00:00,4.024,8.11456,2.678,10.776272,21.730791680000003,2.7
2017-06-02 06:00:00+00:00,4.15,8.2708,1.966,8.158900000000001,16.260392799999998,3.6
2017-06-02 07:00:00+00:00,3.996,8.07984,1.931,7.716276000000001,15.602171040000002,4.7
2017-06-02 08:00:00+00:00,3.867,7.919880000000001,0.42,1.62414,3.3263496000000004,5.2
2017-06-02 09:00:00+00:00,3.883,7.93972,0.487,1.891021,3.86664364,6.3
2017-06-02 10:00:00+00:00,3.825,7.867800000000001,1.257,4.808025,9.8898246,7.1
2017-06-02 11:00:00+00:00,3.5950000000000006,7.5826,4.205,15.116975000000004,31.884833,7.3
2017-06-02 12:00:00+00:00,3.4450000000000003,7.396599999999999,1.346,4.636970000000001,9.9558236,7.1
2017-06-02 13:00:00+00:00,3.482,7.442480000000001,3.85,13.4057,28.653548000000004,7.2
2017-06-02 14:00:00+00:00,3.596,7.583839999999999,3.495,12.56802,26.5055208,6.7
2017-06-02 15:00:00+00:00,3.9700000000000006,8.047600000000001,0.927,3.680190000000001,7.460125200000001,6.4
2017-06-02 16:00:00+00:00,4.278,8.42952,0.597,2.5539659999999995,5.03242344,7.2
2017-06-02 17:00:00+00:00,4.382,8.55848,3.771,16.524521999999997,32.274028079999994,6.6
2017-06-02 18:00:00+00:00,3.686,7.69544,0.605,2.23003,4.6557412,5.8
2017-06-02 19:00:00+00:00,3.6840000000000006,7.692960000000001,3.56,13.115040000000002,27.386937600000003,6.1
2017-06-02 20:00:00+00:00,3.918,7.98312,0.663,2.597634,5.292808560000001,5
2017-06-02 21:00:00+00:00,3.353,7.28252,1.177,3.946481,8.57152604,4.4
2017-06-02 22:00:00+00:00,3.003,6.84852,3.93,11.80179,26.9146836,4.3
2017-06-02 23:00:00+00:00,3.002,6.8472800000000005,0.431,1.2938619999999998,2.95117768,4.2
2017-06-03 00:00:00+00:00,2.805,6.603,3.067,8.602935,20.251401,4.1
2017-06-03 01:00:00+00:00,2.641,6.39964,2.044,5.398204,13.08086416,4
2017-06-03 02:00:00+00:00,2.586,6.33144,1.471,3.804006,9.31354824,3.7
2017-06-03 03:00:00+00:00,2.5,6.224799999999999,3.412,8.53,21.2390176,4.2
2017-06-03 04:00:00+00:00,2.528,6.25952,0.744,1.880832,4.65708288,4.1
2017-06-03 05:00:00+00:00,2.603,6.35252,4.078,10.615034,25.905576560000004,4.1
