Date;snt/kWh
01/02/2015;5,84
01/05/2015;5,72
01/08/2015;5,78
01/11/2015;5,75
01/02/2016;5,76
01/05/2016;5,73
01/08/2016;5,68
01/11/2016;5,69
01/02/2017;5,72
01/05/2017;5,58
01/08/2017;5,74
01/11/2017;5,66
01/02/2018;5,63
01/05/2018;5,69
01/08/2018;5,7
01/11/2018;5,82
01/02/2019;5,83
01/05/2019;5,81
01/08/2019;5,84
01/11/2019;6,08
01/02/2020;5,84
01/05/2020;5,84
01/08/2020;5,84
01/11/2020;5,83
01/02/2021;5,88
01/05/2021;5,85
01/08/2021;5,85
01/11/2021;5,85
01/02/2022;5,93
