Date;snt/kWh
May-17;6,870967742
Jun-17;6,629032258
Jul-17;6,64516129
Aug-17;6,838709677
Sep-17;7,088709677
Oct-17;7,169354839
Nov-17;7,508064516
Dec-17;7,427419355
Jan-18;7,919354839
Feb-18;7,379032258
Mar-18;7,35483871
Apr-18;7,85483871
May-18;8,217741935
Jun-18;8,25
Jul-18;8,153225806
Aug-18;8,330645161
Sep-18;8,39516129
Oct-18;8,677419355
Nov-18;8,330645161
Dec-18;7,5
Jan-19;7,5
Feb-19;7,822580645
Mar-19;8,064516129
Apr-19;8,14516129
May-19;8,306451613
Jun-19;7,661290323
Jul-19;7,903225806
Aug-19;7,661290323
Sep-19;7,983870968
Oct-19;7,983870968
Nov-19;7,903225806
Dec-19;7,983870968
Jan-20;7,983870968
Feb-20;7,338709677
Mar-20;6,209677419
Apr-20;5,64516129
May-20;4,838709677
Jun-20;5,967741935
Jul-20;6,209677419
Aug-20;6,129032258
Sep-20;5,725806452
Oct-20;5,806451613
Nov-20;5,806451613
Dec-20;6,209677419
Jan-21;6,935483871
Feb-21;7,419354839
Mar-21;7,741935484
Apr-21;7,5
May-21;7,822580645
Jun-21;7,983870968
Jul-21;8,14516129
Aug-21;8,14516129
Sep-21;8,306451613
Oct-21;9,193548387
Nov-21;9,274193548
Dec-21;8,951612903
Jan-22;9,516129032
Feb-22;10,40322581
Mar-22;16,61290323
Apr-22;12,82258065
May-22;14,03225806
Jun-22;15,72580645
Jul-22;14,35483871
Aug-22;13,06451613
Sep-22;13,9516129
Oct-22;15,56451613
Nov-22;14,51612903
Dec-22;11,61290323
Jan-23;12,5
Feb-23;11,69354839
Mar-23;11,69354839
Apr-23;11,29032258
May-23;10,32258065
Jun-23;10,72580645
Jul-23;10,88709677
